,Date,User,Tweet
114,2023-06-15 14:52:54+00:00,blue_rose_tkr,"ありがとうございます😊

ソジュニの右眉の横に
キム・ソンホの文字が💜
来日イベントということは
ファンミかな😌
とにかく嬉しい🥰
ふたりに逢えるなんて💕

#김선호
#キムソンホ
#キムソノ
#KimSeonHo
#박서준
#パクソジュン
#ParkSeoJun"
115,2023-06-15 14:47:59+00:00,chiliquitasw,"단오날 김선호 보기🐯
유일한 선택은 귀공자！✨🔫
6월 21일 가자🕺🏼

 ◡̈
#KimSeonHo  
#김선호
#귀공자 #TheChilde https://t.co/eDgz1IMIPC"
116,2023-06-15 14:43:08+00:00,marciaalmorais,"@xxstuffedcake Hahahaha Vão sim, amiga!
E o Kim Seon Ho já está mais que treinado para beber as lágrimas dos haters! 😎🔥 https://t.co/KCaJRAks9j"
117,2023-06-15 14:36:16+00:00,myseonhokim,YES! TAKBO! TAKBO PAPALAPIT SAKANYA! 😂 #KimSeonHo #TheChilde
118,2023-06-15 14:34:51+00:00,myseonhokim,Makakatulog pa ba tayo nang maayos sa Gabi? 🙄
119,2023-06-15 14:34:44+00:00,DaphneSmit67292,@daylight_Seonho The Dispatch is always on top of things! Love seeing updates on #KimSeonHo and his projects. Can't wait to see what he does next.
120,2023-06-15 14:34:36+00:00,epi_SH,"장난스럽게 살짝 올려다 보는 👀

20230612 KBS 라디오 퇴근 
#김선호 #KimSeonHo #キム・ソンホ https://t.co/OoYePYU5pr"
121,2023-06-15 14:33:36+00:00,ditto02,"🔥🔥🔥 in your 👁️👁️ 
#귀공자 #영화귀공자 #Thechilde
#김선호 #Kimseonho https://t.co/quVAhqn1bu"
122,2023-06-15 14:23:47+00:00,LaniSky_30,Uri #kimseonho raising the bar 💪🫰🤟✌️💙
123,2023-06-15 14:22:34+00:00,dzilmayo,"Looking for chingus shhds na nanalo ng blockscreening sa moa for July 9. 🥹🥹🥹 add niyo naman ako sa gc 🤪

#GigilInManilaTheChildeKSH
#TheChildeInManila
#KimSeonHo
#Seonhohada"
124,2023-06-15 14:19:43+00:00,Kra__tae,"❤️
#KimSeonHo
#김선호
#귀공자 https://t.co/dpH0Ef6Nkv"
